,video_id,comments
10,1_5VuquLbXg,"[""Striver you don't know how much this is helping us!! Thank you so so so Much! \nNo one can explain DSA better than you❤❤😭"", 'There is another approach for this problem which is similar to 2nd one, like in 2nd one we end up at the largest element, so we can start by taking first left = 0 and right = largestElementIndex and secondly, left = largestElementIndex and right = n-1, and then for the first one, we can use prefix max and use the first approach (from the video) and similarly, for the second, we can use suffix max, here in both cases, we know the max element at one direction and need to compute the other one at the run time and find the total water. Refer to the code below :\nint trap(vector<int>& height) {\r\n        int ans = 0;\r\n        int n = height.size();\r\n        \r\n        int maxIndex = 0;\r\n        for(int i = 0; i < n; ++i){\r\n            if(height[i] > height[maxIndex]){\r\n                maxIndex = i;\r\n            }\r\n        }\r\n\r\n        int leftMax = 0;\r\n        for(int i = 0; i < maxIndex; ++i){\r\n            leftMax = max(leftMax, height[i]);\r\n            if(height[i] < leftMax) ans += leftMax - height[i];\r\n        }\r\n\r\n        int rightMax = 0;\r\n        for(int i = n-1; i > maxIndex; --i){\r\n            rightMax = max(rightMax, height[i]);\r\n            if(height[i] < rightMax) ans += rightMax - height[i];\r\n        }\r\n\r\n        return ans;\r\n    }', 'for the very first time solved a hard problem in a single go', 'Nice Explanation', '16:46, arr[i] has to be *smaller* than and NOT greater than leftMax and rightMax to store water on top of it', ""Learned a new approach I didn't know the second approach previously. I solved this problem by approach 1 on my own a few weeks ago♥"", 'the prefix/suffix match approach is a lot better to understand imo', 'Dropping stack playlist in a queue \nNoice']"
11,zMdbdGJNlh4,"['Thankyou bhaiya!!', 'was able to solve this by myself easily', 'He delivered when we needed him the most', 'Love ++', 'Thank You So much for all these videos!', 'Love you bro']"
12,7PrncD7v9YQ,"['Completed 19th July', 'Thankyou bhaiya!!', '@Take you forward \nSmall optimisation :-\nWhy we even need to push 2n elements push only till (i < n) \nThen we would not waste extra time in pushing and popping...', '❤❤❤❤', 'Thanks bhaiya for great content ❤', 'Implement Queue using Stacks put this one also! thnku', 'Excellent video', '❤']"
13,e7XQLtOQM3I,"['Green looks 🤢 good', 'Understood!!', 'why so less views']"
14,NdDIaH91P0g,"['Very low energy #striver_79', 'tysm sir', 'Did anyone try this problem on LeetCode?', 'only 22 testcases passed using second method', '👍👍', 'Thanks alot Bhaiya!!\nUnderstood', 'Understood!!', 'Dangerous question with mind blowing explanation ❤', 'wow got lucky, thanks for uploading', '❤❤❤']"
15,xwjS0iZhw4I,"['Thanks Striver dada❤', 'timestamps\r\n0:0 - Question Overview\r\n3:35 - solving Approach\r\n6:30 - Dry Run\r\n8:38 - Pseudocode\r\n11:28 - Time complexity analysis\r\n12:09 - Outro', 'ty sir', 'Striver, string series please', 'Bro i can understand easily after seeing your videos but when i am solving question for first time i am not able to do please give some advice or tips. Please striver bhaiya reply. By the way i love ur way of teaching❤', 'string series please', 'Thanku Bhaiya\nprint(""bhaiya heap ki bhi playlist"")', 'Striver string plz', 'Understood!!', '❤❤❤']"
16,4pIc9UBHJtk,"['Bro i can understand easily after seeing your videos but when i am solving question for first time i am not able to do please give some advice or tips. Please striver bhaiya reply. By the way i love ur way of teaching❤', 'sir please heap ki playlist laao jaldi se jaldi 🥺', 'thank you so much bhaiya❤❤', 'At timestamp 12:20 and  13:12 it should be not operator !st.empty() in while condition', 'Understood!!', 'Utkarsh....you can keep those retakes....shows his dedication :)', 'Lego lego', 'Amazing sir', 'Thank youu sir, love the way you teach', 'GOAT is back']"
17,tqQ5fTamIN4,"['TUF+ launching on 7th August, are you excited about it? If you are wanting to give hate for us bringing a paid model. Here are a few things you must read. \n\n1. if you are an engineer, you know the server cost to run takeuforward website which has 13M+ views every month. \n2. TUF stays free, so should not affect anyone, just blink an eye. \n\nIt will be a course, but not a course! Miles apart from what others are providing you..', 'WILL COMPLETE THIS PLAYLIST TODAY \nAND COMMENT ON LAST VIDEO', 'remember bro is our teacher not slave !!! you can upload our class whenever you think sir!!!', 'TIMESTAMPS\n0:00 Intro \n1:54 What is Stack\n5:37 What is queue\n8:58 Implementing stack and queue using inbuilt library\n10:47 Implementing stack using array\n19:30 Implementing queue using array\n31:53 Implementing stack using linked list\n38:22 Implementing queue using linked list\n44:58 Implementing stack using queue\n51:08 Implementing queue using stack (approach 1)\n58:12 Implementing queue using stack (approach 2)', 'Striver, it would be great if you can add timestamps in this video. Thank you so much for this DSA playlist!!!', 'Bro i can understand easily after seeing your videos but when i am solving question for first time i am not able to do please give some advice or tips. Please striver bhaiya reply. By the way i love ur way of teaching❤', 'Strinsg', 'Thank u bhaiya ,\nJabardast lecture hai.\nPura revision ek baar me within short period of time.', 'Thanks', 'In the push in queue using LL, in the else condition, end->next = temp; But after, the end should also be pointing to temp right?']"
18,1ibsQrnuEEg,"['did it myself ,thanks for building up my logic uptill now heres the code i did:class Solution {\n    static class Pair implements Comparable<Pair>{\n    double ratio;\n    int index;\n    public Pair(int index,double ratio){\n        this.index=index;\n        this.ratio=ratio;\n    }\n    \n    @Override\n    public int compareTo(Pair p1){\n        return Double.compare(p1.ratio,this.ratio);\n    }\n}\n    // Function to get the maximum total value in the knapsack.\n    double fractionalKnapsack(int w, Item arr[], int n) {\n        PriorityQueue<Pair>pq=new PriorityQueue<>();\n        for(int i=0;i<n;i++){\n        double div=(double ) arr[i].value/arr[i].weight;\n            pq.add(new Pair(i,div));\n        }\n        \n        double profit=0;\n        while(w!=0 && !pq.isEmpty()){\n            Pair curr=pq.poll();\n            \n            if(w<arr[curr.index].weight){\n                profit +=(double)(arr[curr.index].value *w)/arr[curr.index].weight;\n                w=0;\n                continue;\n            }\n            w=w-arr[curr.index].weight;\n            profit+=arr[curr.index].value;\n            \n        }\n        return profit;\n    }\n}', 'Where is stacks playlist...?striver...', 'Stack and Queue series kyun udd gayi?????', 'broo where did your stack and queue playlist gone 🥲', 'Striver why did you remove the stack, queue playlist 🥲.... \nI was ongoing', 'bro public the  stack and queue playlist again plss', 'Hey Striver! Will there be a SDE SHEET CHALLENGE 2024? Love the work you do for the community <3', 'your content is gold. Please public the stacks and queues series 🙂', 'why did you remove the stack and queues playlist aadha kiya tha', 'Striver why did you remove the Stacks and Queues Videos from your channel ?????']"
19,IIqVFvKE6RY,"['Best video in entire DSA', '1x feels like 0.5x to me after listening to all of his classes in 2.5x 😆', 'O(2N) solution, actually u dont need right variable. \n\nsum:=  max(1,candies[n-1])\r\n\tcur:=1\r\n\r\n\t//right traversal \r\n\tfor i:=n-2;i>=0;i--{\r\n\t\tif ratings[i]>ratings[i+1]{\r\n\t\t\t cur++\r\n\t\t}else{\r\n\t\t\tcur=1\r\n\t\t}\r\n\t\tsum+=max(candies[i],cur)\r\n\t\tcandies[i] = max(candies[i],cur)\r\n\t}', 'Small correction in O(2N) solution\nstatic int minCandy(int n, int ratings[]) {\n        // code here\n        //Brute Force\n        // int left[] = new int[N];\n        // int right[] = new int[N];\n        // left[0]=1; //since we start from left the 1st element will be 1\n        // right[N-1]=1; //since we start from right the right[N-1] is 1\n        // for(int i=1;i<N;i++){\n        //     if(ratings[i]>ratings[i-1])\n        //         left[i]=left[i-1]+1;\n        //     else\n        //         left[i]=1;\n        // }\n        // for(int j=N-2;j>=0;j--){\n        //     if(ratings[j]>ratings[j+1])\n        //         right[j]=right[j+1]+1;\n        //     else\n        //         right[j]=1;\n        // }\n        // int sum=0;\n        // for(int k=0;k<N;k++)\n        //     sum+=Math.max(left[k],right[k]);\n        // return sum;\n        \n        //Better\n        int left[] = new int[n];\n        left[0]=1;\n        for(int i=1;i<n;i++){\n            if(ratings[i]>ratings[i-1])\n                left[i]=left[i-1]+1;\n            else\n                left[i]=1;\n        }\n        int curr=1,right=1,sum=Math.max(left[n-1],1);\n        for(int i=n-2;i>=0;i--){\n            if(ratings[i]>ratings[i+1])\n                curr=right+1;\n            else\n                curr=1;\n            right=curr; // right is updated outside if else\n            sum+=Math.max(left[i],curr);\n        }\n        return sum;\n    }', 'Great', '?', 'Is it patented approach', 'Is there anyone who completed the whole playlist?????', 'What is the optimal approach if they asked for the resultant array ???', 'please run the code youself at last it shows error many times']"
20,cHT6sG_hUZI,"['beautiful man', 'thank you', 'what a brilliant solution sir!!', '11:25 if asterix, 3 possible combos. Not understood this. Can someone explain ?', 'at 22:55 max should be max - 1 rest of the code was super duper', 'this greedy solution is good but if anyone facing issue in understanding the Intuition of min max approach then he/she can visit CodeStorywithMik channel for the same problem and can watch Approach 4 explained by him ,that approach is also in constant space and TC=O(n) [2 pass solution] :)', 'what does range signify? can anyone explain.', '17:07 can someone explain me why -1 is not possible', 'At 22:43 max = max -1 should be the code, rest is fine. Thank you for this amazing series.', 'US']"
21,AsGzwR_FWok,"['Can someone tell me why is my code not working for any test cases beyond 2  (gfg link) ? I thought i could use the logic of maxDeparture time for a train and sort the train times according to arrival of train (in ascending order) and check if next train arrival is greater than previous train departure only then clear out all the counts (as all the trains would have left) and assign new cnt( new platform (only 1)) else (if next train arrival is lesser than previous train maxDeparture then some trains are there , (this will be presented in cnt) and increase cnt and keep max variable to find maximum cnt can reach.  \n\n\n    bool static comparator(pair<int,int>& a,pair<int,int>& b){\n        return a.first<b.first;\n    }\n    int findPlatform(int arr[], int dep[], int n)\n    {\n    \t// Your code here\n    \tvector<pair<int,int>>temp;\n    \t\n    \tfor(int i=0;i<n;i++){\n    \t    // {arrival , departure}\n    \t    temp.push_back({arr[i],dep[i]});\n    \t}\n    \t\n    \tsort(temp.begin(),temp.end(),comparator);\n    \t\n    \tint maxDeparture=temp[0].second;\n    \tint minCnt=1;\n    \tint maxAns=1;\n    \t//next train arrival should be greater than previous train departure\n    \tfor(int i=1;i<temp.size();i++){\n    \t        if(temp[i].first>maxDeparture){\n    \t     \n    \t            minCnt=0;\n    \t            minCnt+=1;\n    \t            //as we are checking temp[i].first>maxDeparture\n    \t            //therefore temp[i].second by logic should be greater than maxDeparture of previous train\n    \t            maxDeparture=temp[i].second; \n    \t        }\n    \t        else {\n    \t            minCnt+=1;\n    \t            maxAns=max(maxAns,minCnt);\n    \t            maxDeparture=max(maxDeparture,temp[i].second);\n    \t        }\n    \t}\n    \treturn maxAns;\n    \t\n    }', 'Another (unpopular?) approach: We can solve it like how we solve ""Array Manipulation"" from hackerrank (leetcode discuss thread available on the same with title ""Minimum number of platforms required for a railway"", unable to link it here probably because of restriction)', 'solution he gave for naive approach and code for naive in tuf is wrong i think \n3\r\n0900 0920 1010\r\n1200 1000 1150\njust run that code  with give input and check output on gfg\n int ans=1; //final value\n    for(int i=0;i<=n-1;i++)\n    {\n        int count=1; // count of overlapping interval of only this   iteration\n        for(int j=i+1;j<=n-1;j++)\n        {\n            if((arr[i]>=arr[j] && arr[i]<=dep[j]) ||\n           (arr[j]>=arr[i] && arr[j]<=dep[i]))\n           {\n               count++;\n           }\n        }\n        ans=max(ans,count); //updating the value\n    }\n    return ans;', 'This explanation is so much better and intuitive than the previous video!! Thanks Striver', 'Like I was thinking that why are you making the same video again but when i saw both the videos i got shocked by the improvement in your teaching skills bhaiyaa i didnt get this question in the previous solution but when i saw this explanation  i got all my concepts cleared. Thanku so much striver for this brilliant explanationn.😊😊🙂🙂', 'Ur explanation has become good as compared to ur previous video on the same question ,a lot better', 'We can also solve it in O(N) TC and O(1) Space:\nSince the time is in 24hr format, we can keep a time array of size 2360 (max time = 23:59)\nThen for evey minute count the number of trains present\nFinally loop through the time array and take the max count\n\nEg: arr[] = {1000, 1030, 0900}, \r\n     dep[] = {1100, 1130, 0945}\nSo, in time array from 0900 till 0945 count will be 1, then from 1000 till 1030 count will be 1, but from 1030 till 1100 count will be 2 and from 1100 till 1130 count is 1. So max count is 2 which is the answer. So in this case we dont need to sort the array, we can just keep the count of trains at every minute.\n\nCode:\n       vector<int> time(2360, 0);\r\n    \tfor(int i = 0; i < n; i++){ \n    \t    for(int j = arr[i]; j <= dep[i]; j++){\r\n    \t        time[j]++;\r\n    \t    }\r\n    \t}\r\n    \tint maxCnt = 0;\r\n    \tfor(int i = 0; i < 2360; i++){\r\n    \t    maxCnt = max(maxCnt, time[i]);\r\n    \t}\r\n    \treturn maxCnt;', 'Livestreaming platform', 'This is one of the finest solution, i have seen striver. It is really waoo.\nGood job, keep sharing the learning with us.', 'Visualization/Intution that helped  undertand why we sorted the departure data:\n\n- Firstly, notice that the time pairs(arrive,depart) is NOT same as depart,arrive like in airplane.\n   ->when train arrives, its jus sitting at station doing nothing!  With that said, we do not have to view \n   arrive , depart as one unit of data tied together.\n\n-So the person responsible for clearing assigning tracks  is basically just looking at his clock the whole time!!\n    ->After every few minutes, he is going to do one of 3 things:\n        -do nothing  (neither arrival not departure happened) //no need to code this\n        -clear a track (becuase it departed)  \n            ->to do this, it would be convenient for the depart times to be in sorted order.\n \n        -open new track (because new train arrived before an old train departed)\n             ->to do this, it would be convenient for arrival times to be in sorted order \n                -NOTE: arrival times are by default given in sorted order so idk why we had to sort it.']"
22,xxRE-46OCC8,"['understood', 'Understood', 'thank you', ""This could have been done with binary search as well. \nThats the point of this question otherwise what's the difference in this question and merge intervals. \nCould have just added the new interval into the old and applied merge intervals ?"", 'when I saw this question, there was in my mind that it is saying to insert, ofcourse it will be inplace and end up doing inplace  which beats 5% people in runtime😂 BUT beats 98% people in terms of Memory\n\nHere is the code, if anyone wanna see this approach\nclass Solution {\r\npublic:\r\n    vector<vector<int>> insert(vector<vector<int>>& inter, vector<int>& newinter) {\r\n        int n=inter.size(),low=0,high=n-1,ans=-11;\r\n        while(low<=high){\r\n            int mid=low+(high-low)/2;\r\n            if(newinter[0]==inter[mid][0]){\r\n                ans=mid;\r\n                break;\r\n            }\r\n            else if(newinter[0]<inter[mid][0]) high=mid-1;\r\n            else low=mid+1;\r\n        }\r\n        if(ans==-11) ans=high;\r\n        if(ans==-1){\r\n            int last=-111;\r\n            while(!inter.empty() && inter[0][0]<=newinter[1]){\r\n                last=inter[0][1];\r\n                inter.erase(inter.begin());\r\n            }\r\n            newinter[1]=max(newinter[1],last);\r\n            inter.insert(inter.begin(),newinter);\r\n        }\r\n        else{\r\n            if(inter[ans][1]>=newinter[0]){\r\n                int last=inter[ans][1];\r\n                while(inter.size()>=ans+2 && inter[ans+1][0]<=newinter[1]){\r\n                    last=inter[ans+1][1];\r\n                    inter.erase(inter.begin()+ans+1);\r\n                }\r\n                inter[ans][1]=max(newinter[1],last);\r\n            }\r\n            else{\r\n                int last=inter[ans][1];\r\n                while(inter.size()>=ans+2 && inter[ans+1][0]<=newinter[1]){\r\n                    last=inter[ans+1][1];\r\n                    inter.erase(inter.begin()+ans+1);\r\n                }\r\n                newinter[1]=max(newinter[1],last);\r\n                inter.insert(inter.begin()+ans+1,newinter);\r\n            }\r\n        }\r\n        cout<<ans;\r\n        return inter;\r\n    }\r\n};', 'watched', 'class Solution {\r\npublic:\r\n    vector<vector<int>> insert(vector<vector<int>>& intervals, vector<int>& newInterval) {\r\n\r\n        int n = intervals.size();\r\n        int i = 0;\r\n        vector<vector<int>>result;\r\n\r\n        while(i<n && intervals[i][1] < newInterval[0]){\r\n            result.push_back(intervals[i]);\r\n            i += 1;\r\n        }\r\n\r\n        while(i<n && intervals[i][0] <= newInterval[1]){\r\n            newInterval[0] = min(newInterval[0],intervals[i][0]);\r\n            newInterval[1] = max(newInterval[1],intervals[i][1]);\r\n            i++;\r\n        }\r\n            result.push_back(newInterval);\r\n\r\n        while(i<n){\r\n            result.push_back(intervals[i]);\r\n            i++;\r\n        }\r\n        return result;\r\n    }\r\n};', 'tysm sir', 'CORRECTION : In the 2nd while loop initialization it will be while(i < n && intervals[i][0] <= newInterval[1])', 'nice']"
23,HDHQ8lAWakY,"['Understood', 'Can anyone explain for this problem as well as for N meetings problem, why are we sorting based on end time and not on the length of the interval??', 'as soon as I listened n meetings in a room I rushed back to questions. I was struggling with my  approach but as soon I heard the title n meetings I got the solution .', 'How you got an idea of n meetings for this problem???', 'I sorted the array with respect to start time in ascending order. While traversing, if start_time of the current interval is greater than end time of the previously selected interval, then we would need to remove one interval, and we would remove that interval whose end time is lesser. it works .\n\nbool compare(vector<int>& a, vector<int>& b) {\n    if ( a[0]  < b[0]) return true; \n    if ( a[0] == b[0]) {\n        return a[1] < b[1]; \n    }\n    return false; \n}\n\nint eraseOverlapIntervals(vector<vector<int>>& intervals) {\n    int n = intervals.size(); \n    if ( n == 1) return 0 ;\n\n    sort(intervals.begin(), intervals.end(), compare);\n\n    int count = 0 , prevEndTime = INT_MIN; \n    for( int i = 0  ; i < n ; ++i) {\n        if( intervals[i][0] < prevEndTime) {\n            count++; \n            prevEndTime = min(prevEndTime, intervals[i][1]);\n        } else {\n            prevEndTime = intervals[i][1];\n        }\n    }\n    return count; \n}', 'US', 'thanks', 'since code was not on website here is it for everyone:\nclass Solution {\npublic:\n    static bool comp(vector<int>&a,vector<int>&b){\n        return a[1]<b[1];//sorts array in asc order based on second index\n    }\n    int eraseOverlapIntervals(vector<vector<int>>& arr) {\n        sort(arr.begin(),arr.end(),comp);\n        int last=arr[0][1];\n        int cnt=0;\n        for(int i=1;i<arr.size();i++){\n            if(arr[i][0]>=last){\n                last=arr[i][1];\n            }else{\n                cnt++;\n            }\n        }\n        return cnt;\n    }\n};', 'nice', 'the way you find relation with other problems is amazing. thank you!']"
24,mKfhTotEguk,"['Understood', 'As you said sort the array based on meeting timing, and process the problem of sorting values, for example if the shortest meeting starts at 20 and other meeting timings are lesser than 20, how would this approach work?', 'Waiting for strings playlist', 'Understood', 'Kijiye Meeting Meeting, karte rahiye meeting meeting, halua meeting meeting', 'tysm sir', 'Stacks', 'Easy java solution:\n   public static int maxMeetings(int start[], int end[], int n)\n    {\n       List<List<Integer>> list = new ArrayList<>();\n       for(int i=0;i<start.length;i++)\n       {\n           List<Integer> struct = new ArrayList<>();\n           struct.add(i);\n           struct.add(start[i]);\n           struct.add(end[i]);\n           list.add(struct);\n       }\n       Collections.sort(list, Comparator.comparing(lst -> lst.get(2)));\n       int freeTime = 0;\n       int count = 0;\n       for(int i=0;i<list.size();i++)\n       {\n           List<Integer> struct = list.get(i);\n           int startTime = struct.get(1);\n           int endTime = struct.get(2);\n           if(freeTime<startTime)\n           {\n               count++;\n               freeTime = endTime;\n           }\n       }\n       return count;\n    }', 'int maximumMeetings(vector<int> &start, vector<int> &end)\r\n{\r\n    vector <pair <int,int>> v;\r\n\r\n    int n = start.size();\r\n\r\n    for(int i=0;i<n;i++)\r\n    {\r\n        v.push_back({start[i],end[i]});\r\n    }\r\n\r\n    sort(v.begin(), v.end(), [](const pair<int, int> &a, const pair<int, int> &b) {\r\n            return a.second < b.second;\r\n        });\r\n\r\n    int time =0;\r\n    int ans =0;\r\n\r\n    for(auto &item : v)\r\n    {\r\n        if(item.first > time)\r\n        {\r\n            ans++;\r\n            time = item.second;\r\n        }\r\n\r\n    }\r\n\r\n    return ans; \r\n\r\n\r\n\r\n\r\n}\n\nint this code , i dont need to store the position anywhere , just store both of those in a vector of pairs, i think this code is better than the given video', 'a better code \n  static bool cmp(pair<int,int> a,pair<int,int> b){\n        return a.second<b.second;\n    }\n    int maxMeetings(int start[], int end[], int n)\n    {\n        // Your code here\n        vector<pair<int,int>> p;\n        for(int i=0;i<n;i++){\n            p.push_back(make_pair(start[i],end[i]));\n        }\n        sort(p.begin(),p.end(),cmp);\n        int ansend=p[0].second;\n        int count=1;\n        for(int i=1;i<n;i++){\n            if(p[i].first>ansend){count++;\n            ansend=p[i].second;\n        }\n    }\n    return count;}']"
